channel_1,channel_2,channel_3
-26.245872,-14.9823885,-24.162659
-27.156662,-14.787042,-24.31397
-27.459494,-15.007439,-24.382328
-28.212402,-15.326279,-25.038143
-28.861586,-15.648656,-25.711538
-27.867052,-15.014581,-24.69245
-27.780155,-14.941528,-24.597172
-26.57503,-14.716888,-23.947388
-27.838951,-14.979561,-24.642756
-28.874155,-15.844345,-25.842117
-28.78359,-15.742233,-25.786158
-26.55544,-14.889418,-23.969126
-28.22296,-15.599348,-25.372982
-26.676271,-14.833187,-24.018356
-28.376692,-15.590192,-25.539446
-27.937862,-15.289542,-24.958029
-27.457685,-15.2302065,-24.857916
-28.287336,-15.697248,-25.376003
-27.430798,-15.00727,-24.50414
-26.692804,-15.088994,-23.87392
-25.661348,-14.868909,-23.397087
-27.562464,-15.3627615,-24.641256
-27.715134,-15.351249,-24.7428
-26.63919,-14.730701,-23.72106
-25.837448,-15.395477,-23.936525
-26.900625,-14.971794,-24.273338
-27.193848,-15.194356,-24.381443
-27.963419,-15.526571,-25.05329
-28.662752,-15.887128,-25.708818
-27.707432,-15.195977,-24.707241
-27.594713,-15.153903,-24.518974
-26.316542,-15.040067,-23.965979
-27.66454,-15.167143,-24.546923
-28.616796,-16.050615,-25.899603
-28.604239,-15.86184,-25.76427
-26.197573,-15.114771,-23.903854
-27.96614,-15.857097,-25.203466
-26.411673,-15.069376,-23.883572
-28.235352,-15.780029,-25.525978
-27.564936,-15.512858,-24.727356
-27.241554,-15.501642,-24.769363
-28.041924,-15.899818,-25.215866
-27.240717,-15.209854,-24.33711
-26.498405,-15.305378,-23.885563
-25.42826,-15.147982,-23.420385
-27.39209,-15.55724,-24.582949
-27.44838,-15.611403,-24.697054
-26.43723,-14.909854,-23.638443
-25.486069,-15.769966,-23.782343
-26.672525,-15.158985,-24.212765
-26.907898,-15.395238,-24.35464
-27.762407,-15.67963,-24.987772
-28.421019,-16.106083,-25.615671
-27.50324,-15.275259,-24.719713
-27.3647,-15.332741,-24.444128
-26.033365,-15.286915,-23.985682
-27.509262,-15.327314,-24.541327
-28.35306,-16.255465,-25.90384
-28.404062,-16.058516,-25.747787
-25.942694,-15.335283,-23.852428
-27.676178,-16.043268,-25.147827
-26.12321,-15.242334,-23.784273
-28.032192,-15.998694,-25.532598
-27.166878,-15.772615,-24.546923
-26.97312,-15.734213,-24.63666
-27.81581,-16.032965,-25.181635
-26.955788,-15.253801,-24.242893
-26.293453,-15.2198715,-23.922007
-25.15713,-15.158916,-23.38742
-27.221197,-15.47338,-24.414537
-27.14483,-15.635769,-24.564053
-26.18947,-14.842242,-23.561232
-25.16967,-15.697789,-23.64959
-26.50965,-15.234015,-24.160143
-26.630922,-15.435939,-24.253534
-27.575539,-15.610091,-24.944815
-28.165205,-16.075611,-25.535189
-27.379406,-15.269438,-24.636478
-27.153454,-15.248282,-24.382378
-25.709482,-15.258137,-23.944065
-27.390083,-15.289173,-24.51133
-28.09597,-16.2327,-25.818838
-28.227758,-16.114246,-25.621574
-25.728563,-15.266781,-23.808819
-27.384745,-16.109587,-25.08807
-25.892826,-15.190481,-23.609257
-27.822649,-16.04832,-25.468922
-26.841644,-15.798633,-24.449665
-26.691265,-15.718541,-24.501667
-27.638298,-16.070095,-25.195944
-26.989952,-15.34095,-24.082682
-26.474524,-15.143886,-23.941265
-25.247396,-15.136652,-23.284666
-27.320581,-15.39426,-24.317045
-27.126062,-15.654302,-24.402649
-26.26408,-14.807491,-23.510717
-25.387821,-15.573355,-23.55761
-26.595297,-15.34642,-24.023067
-26.619972,-15.531818,-24.151476
-27.648283,-15.647245,-24.694004
-28.186998,-16.046452,-25.401106
-27.401852,-15.309667,-24.460688
-27.234114,-15.127669,-24.398783
-25.745253,-15.288741,-23.767582
-27.451347,-15.291423,-24.41761
-28.125595,-16.206125,-25.609386
-28.263891,-16.130003,-25.620281
-25.864403,-15.28211,-23.733147
-27.307287,-16.133059,-25.044847
-25.9494,-15.160003,-23.502462
-27.795689,-16.093262,-25.452358
-26.863523,-15.837332,-24.352238
-26.705927,-15.758111,-24.349358
-27.68334,-16.01496,-25.284735
-26.97092,-15.390049,-24.044233
-26.6222,-15.03146,-23.921911
-25.358395,-15.128284,-23.178642
-27.416443,-15.341481,-24.209948
-27.065065,-15.655382,-24.331827
-26.345234,-14.819941,-23.448662
-25.568853,-15.480022,-23.464375
-26.618284,-15.433588,-23.921444
-26.631979,-15.576722,-24.100592
-27.607372,-15.637482,-24.55122
-28.217972,-16.003056,-25.267853
-27.354721,-15.39406,-24.30113
-27.405388,-15.119195,-24.331825
-25.764563,-15.387526,-23.576246
-27.439756,-15.320151,-24.357883
-28.109884,-16.280966,-25.349247
-28.368639,-16.19841,-25.639257
-25.897282,-15.289079,-23.593409
-27.304348,-16.085964,-25.027933
-25.960371,-15.17462,-23.44904
-27.775017,-16.120836,-25.389362
-26.932125,-15.812336,-24.297276
-26.664948,-15.803087,-24.203465
-27.832813,-16.012419,-25.279495
-27.002548,-15.537236,-23.877064
-26.755394,-15.110227,-23.653103
-25.444029,-15.287411,-22.900948
-27.427866,-15.482564,-24.16547
-27.080881,-15.781622,-24.22711
-26.398165,-15.064571,-23.330694
-25.735237,-15.586216,-23.275917
-26.619509,-15.55629,-23.747818
-26.676353,-15.616336,-23.97228
-27.59194,-15.747912,-24.454638
-28.240252,-16.081882,-25.0715
-27.315834,-15.507398,-24.222975
-27.501493,-15.199146,-24.15322
-25.767475,-15.709497,-23.21875
-27.389982,-15.421366,-24.255499
-28.009115,-16.341515,-25.13251
-28.380814,-16.330557,-25.534794
-25.890589,-15.485431,-23.42498
-27.397194,-16.154984,-24.893484
-25.964148,-15.273773,-23.415491
-27.750315,-16.239447,-25.144505
-27.020529,-15.8047285,-24.23661
-26.602417,-15.98153,-24.011227
-27.929512,-16.100374,-25.207338
-26.78273,-15.619911,-23.802168
-26.449728,-15.21471,-23.378689
-25.126204,-15.408365,-22.588692
-27.176653,-15.652232,-24.07732
-26.872564,-15.895356,-24.039
-26.126663,-15.287505,-23.11133
-25.468039,-15.760541,-23.080545
-26.415672,-15.576575,-23.58161
-26.543358,-15.660564,-23.778769
-27.397287,-15.831315,-24.436125
-28.008085,-16.177082,-24.927677
-27.180027,-15.6657715,-24.103617
-27.366299,-15.278189,-24.030556
-25.338152,-15.94596,-22.816227
-27.151903,-15.5449095,-24.154846
-27.801043,-16.457792,-24.958984
-28.198244,-16.529978,-25.309666
-25.60848,-15.684685,-23.250116
-27.260479,-16.162798,-24.793701
-25.780272,-15.390866,-23.304232
-27.513508,-16.345669,-24.920525
-26.965496,-15.736429,-24.216827
-26.27459,-16.109095,-23.935575
-27.77605,-16.267906,-24.982615
-26.67346,-15.740096,-23.599722
-26.212057,-15.328421,-23.165468
-24.83535,-15.522668,-22.327
-26.904888,-15.815612,-23.969395
-26.724068,-16.01181,-23.822992
-25.811165,-15.402119,-22.96196
-25.19462,-16.049839,-22.85307
-26.242767,-15.622489,-23.482998
-26.377022,-15.694855,-23.648924
-27.256237,-15.921149,-24.327465
-27.818869,-16.271864,-24.855513
-26.997894,-15.724022,-24.022682
-27.148668,-15.39423,-23.943972
-24.969198,-16.086163,-22.545889
-26.932777,-15.69312,-24.035017
-27.633986,-16.498093,-24.896847
-27.961746,-16.685308,-25.121655
-25.369558,-15.855172,-23.081577
-27.157118,-16.31438,-24.549753
-25.583454,-15.506702,-23.236132
-27.314175,-16.52248,-24.651054
-26.936388,-15.687222,-24.168268
-26.040165,-16.262312,-23.791874
-27.476788,-16.399498,-24.74472
-26.504045,-15.74129,-23.45387
-26.002024,-15.424106,-23.088062
-24.548841,-15.620484,-22.098383
-26.652645,-15.9224415,-23.877115
-26.540693,-16.070139,-23.735298
-25.62196,-15.442471,-22.907177
-24.80637,-16.299732,-22.583302
-26.105536,-15.774368,-23.268307
-26.242891,-15.736802,-23.530811
-27.10487,-16.026321,-24.237488
-27.699081,-16.350998,-24.849457
-26.889238,-15.80668,-23.946268
-26.9851,-15.528177,-23.873756
-24.699787,-16.112593,-22.412943
-26.732536,-15.872938,-23.83581
-27.595757,-16.602083,-24.83771
-27.726364,-16.855867,-24.960432
-25.16726,-16.039953,-22.862535
-26.924526,-16.38334,-24.389841
-25.414623,-15.6411085,-23.088747
-27.060217,-16.676552,-24.428532
-26.889254,-15.738063,-24.091835
-25.846766,-16.35754,-23.664003
-27.215946,-16.527365,-24.516258
-26.387598,-15.881886,-23.5621
-25.85936,-15.62238,-23.278337
-24.286207,-15.832084,-22.349098
-26.442278,-16.097166,-24.015907
-26.414421,-16.178074,-23.909353
-25.505224,-15.547318,-23.035759
-24.433075,-16.607706,-22.774729
-25.8483,-16.020039,-23.337257
-26.083542,-15.877795,-23.59435
-26.93464,-16.194393,-24.349743
-27.596647,-16.486769,-25.004593
-26.741947,-15.946288,-24.088915
-26.867237,-15.747914,-24.047722
-24.597588,-16.181238,-22.683607
-26.526659,-16.046202,-23.9082
-27.520393,-16.798183,-25.032907
-27.48308,-16.995913,-25.053652
-24.886284,-16.279882,-23.009073
-26.77614,-16.59586,-24.356373
-25.205994,-15.87771,-23.136982
-26.864681,-16.8792,-24.49979
-26.721031,-15.969683,-24.208763
-25.67607,-16.522764,-23.762836
-26.996605,-16.721899,-24.62533
-26.507008,-16.021578,-23.705126
-26.045916,-15.851461,-23.441122
-24.566452,-16.114445,-22.559185
-26.628942,-16.27645,-24.072544
-26.584675,-16.21896,-24.03277
-25.651497,-15.623351,-23.145363
-24.595371,-16.791615,-22.992472
-25.88685,-16.292915,-23.402113
-26.132332,-16.077305,-23.625303
-27.078482,-16.358498,-24.48626
-27.762148,-16.616562,-25.119078
-26.833118,-16.06059,-24.1655
-27.037287,-15.982101,-24.207737
-24.971863,-16.350628,-22.964554
-26.641785,-16.210432,-24.027538
-27.690155,-16.995646,-25.189756
-27.46234,-17.158682,-25.092121
-25.01087,-16.458261,-23.126966
-26.801424,-16.79558,-24.472868
-25.300903,-16.074392,-23.14112
